Product Name,Processor,Operating System,Display,Warranty,Discount,Rating,Number of Ratings,Number of Reviews,RAM (GB),Storage (GB),Price (₹),Original Price (₹),Price-to-Performance Ratio
"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Hom...",Intel Core i5 Processor (13th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,No Warranty,20,4.2,549,30,8,512.0,52990.0,66472.0,101.90384615384616
Lenovo IdeaPad Slim 3 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 14AMN8 Thin and ...,AMD Ryzen 5 Quad Core Processor,Windows 11 Operating System,35.56 cm (14 Inch) Display,No Warranty,33,4,3,1,8,512.0,35990.0,54490.0,69.21153846153847
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Domestic Warranty,23,4.4,256,11,16,512.0,47990.0,63000.0,90.89015151515152
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,Intel Core i3 Processor (13th Gen),Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,42,4.2,614,58,8,512.0,28990.0,49999.0,55.75
Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light L...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Domestic Warranty,23,4.4,256,11,16,1.0,51990.0,68000.0,3058.235294117647
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7V4HN/A,Apple M2 Processor,Mac OS Operating System,34.54 cm (13.6 Inch) Display,1 Year Limited Warranty,19,4.7,166,917,16,256.0,79990.0,99900.0,294.08088235294116
Primebook S Wifi MediaTek MT8183 - (4 GB/128 GB EMMC Storage/Prime OS) PB S Wifi Thin and Light Laptop,MediaTek MT8183 Processor,Android Operating System,29.46 cm (11.6 Inch) Display,1 Year Pick and Drop Warranty,No Discount,4.1,349,379,4,,20990.0,,
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVI...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,20,4.7,30,3,16,512.0,94990.0,119990.0,179.90530303030303
Lenovo V15 G2 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) V15 ITL G2 Laptop,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty + 1 Year Accidental Damage Protection Add On,43,4.2,396,23,8,512.0,30999.0,55000.0,59.613461538461536
Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) 15IRU8 Thin and...,Intel Core i3 Processor (13th Gen),Windows 11 Operating System,39.62 cm (15.6 Inch) Display,No Warranty,34,4.3,39,5,8,512.0,36990.0,56490.0,71.13461538461539
DELL AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Lapt...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,No Warranty,26,3.8,24,2,8,512.0,39990.0,54229.0,76.90384615384616
Lenovo IdeaPad Slim 5 WUXGA OLED AI PC Intel Core Ultra 5 125H - (16 GB/1 TB SSD/Windows 11 Home) 14IM...,Intel Core Ultra 5 Processor,Windows 11 Operating System,35.56 cm (14 Inch) Display,1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,15,4.1,248,31,16,1.0,84999.0,101090.0,4999.941176470588
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,1 Year Warranty,40,4.2,575,938,8,512.0,25990.0,43999.0,49.98076923076923
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,Intel Celeron Dual Core Processor (11th Gen),"WPS Office, Operating System Software",35.81 cm (14.1 inch) Display,1 Year Onsite Warranty,51,3.7,137,131,8,256.0,16990.0,34990.0,64.35606060606061
HP 15s AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0026AU Thin and Light Lapt...,AMD Ryzen 3 Quad Core Processor,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,31,4.3,301,35,8,512.0,31990.0,46577.0,61.51923076923077
Lenovo IdeaPad Slim 5 WUXGA IPS AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) 14I...,Intel Core Ultra 5 Processor,Windows 11 Operating System,35.56 cm (14 inch) Display,1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,30,4.2,280,36,16,512.0,71990.0,103790.0,136.34469696969697
HP Victus gaming AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Rade...,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,21,4.2,606,134,8,512.0,49990.0,63628.0,96.13461538461539
HP 14s Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light...,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No Discount,4.3,787,956,8,512.0,49509.0,,95.20961538461539
