Title,Link,Price,Original Price,Discount
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96MYGWSGTF&lid=LSTCOMH3G96MYGWSGTFGZ7TLO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMH3G96MYGWSGTF.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹62,990","₹89,999",30% off
ASUS Vivobook 15 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1504VA-NJ540WS Thi...,/asus-vivobook-15-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-x1504va-nj540ws-thin-light-laptop/p/itm200184e4e0443?pid=COMH4CHFK2PUPVBS&lid=LSTCOMH4CHFK2PUPVBSA7VBXJ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_29&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMH4CHFK2PUPVBS.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹50,990","₹79,990",36% off
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,/hp-backlit-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-15s-fy5002tu-thin-light-laptop/p/itm9046eaf5a4af9?pid=COMGZNSBS7Z959EW&lid=LSTCOMGZNSBS7Z959EWGCQAVA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=s_2_30&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMGZNSBS7Z959EW.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹45,990","₹70,064",34% off
Apple MacBook AIR Apple M2 - (16 GB/256 GB SSD/macOS Sequoia) MC7U4HN/A,/apple-macbook-air-m2-16-gb-256-gb-ssd-macos-sequoia-mc7u4hn-a/p/itmc2732c112aeb1?pid=COMH64PYV3EVZZF8&lid=LSTCOMH64PYV3EVZZF83C6EE0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&iid=cd231a70-ae00-46d8-9c45-f789f1ae1331.COMH64PYV3EVZZF8.SEARCH&ssid=8vtb4m2vsg0000001737048052315&qH=312f91285e048e09,"₹79,990","₹99,900",19% off
Apple Apple M3 - (16 GB/256 GB SSD/macOS Sequoia) MC8J4HN/A,/apple-m3-16-gb-256-gb-ssd-macos-sequoia-mc8j4hn-a/p/itm2ea42dec44bca?pid=COMH64PYHPFMPW6W&lid=LSTCOMH64PYHPFMPW6WJC0DZP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMH64PYHPFMPW6W.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹1,14,900",No Original Price,No Discount
Apple MacBook Air Apple M3 - (8 GB/256 GB SSD/macOS Sonoma) MRXT3HN/A,/apple-macbook-air-m3-8-gb-256-gb-ssd-macos-sonoma-mrxt3hn-a/p/itm2ea42dec44bca?pid=COMGYP5GGSNGYSZP&lid=LSTCOMGYP5GGSNGYSZPBWPP4V&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMGYP5GGSNGYSZP.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹85,990","₹1,14,900",25% off
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,/hp-15s-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itm2977a9ca00317?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6MHJQTO4&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMGZVGHE9QU8C6M.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹33,990","₹51,266",33% off
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin a...,/hp-15s-fq5007tu-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fq5327tu-thin-light-laptop/p/itm2977a9ca00317?pid=COMGYHP5MCEYZHSV&lid=LSTCOMGYHP5MCEYZHSVTVJRS5&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMGYHP5MCEYZHSV.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹35,990","₹51,134",29% off
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,/hp-255-g10-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-250-thin-light-laptop/p/itmac0cd52f844ae?pid=COMH743DRRNQYDSH&lid=LSTCOMH743DRRNQYDSHWKCNLQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMH743DRRNQYDSH.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹26,940","₹31,990",15% off
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,/hp-intel-core-i5-12th-gen-1235u-16-gb-512-gb-ssd-windows-11-home-15s-fq5330tu-15-fd0111tu-thin-light-laptop/p/itm5b5f94f7b044c?pid=COMGXNZGJV3MEMWM&lid=LSTCOMGXNZGJV3MEMWMVXAQ18&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=1b4813e9-e4c0-4dd8-801a-3b0d12ee1586.COMGXNZGJV3MEMWM.SEARCH&ppt=sp&ppn=sp&ssid=1hacupowjk0000001737048061364&qH=312f91285e048e09,"₹47,500","₹68,300",30% off
